地區,特約類別,院所代碼,醫院名稱,急診總病人數,檢傷一級人數,檢傷二級人數,檢傷一級占比(%),檢傷一+二級占比(%)
臺北市北投區,區域醫院,1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,682,3,109,0.44,16.42
臺北市信義區,區域醫院,1301170017,臺北醫學大學附設醫院,11684,256,894,2.19,9.84
臺北市內湖區,醫學中心,0501110514,三軍總醫院附設民眾診療服務處,23167,434,1743,1.87,9.4
臺北市北投區,醫學中心,0601160016,臺北榮民總醫院,19355,517,1300,2.67,9.39
臺北市北投區,區域醫院,1101160017,振興醫療財團法人振興醫院,9837,312,595,3.17,9.22
臺北市大安區,區域醫院,0401020013,國立臺灣大學醫學院附設醫院癌醫中心分院,1427,43,83,3.01,8.83
臺北市中山區,醫學中心,1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,36117,834,2249,2.31,8.54
臺北市中正區,醫學中心,0401180014,國立臺灣大學醫學院附設醫院,24379,287,1781,1.18,8.48
臺北市士林區,醫學中心,1101150011,新光醫療財團法人新光吳火獅紀念醫院,10757,297,508,2.76,7.48
臺北市文山區,醫學中心,1301200010,臺北市立萬芳醫院－委託臺北醫學大學辦理,12495,244,651,1.95,7.16
臺北市大同區,區域醫院,0101090517,臺北市立聯合醫院,37962,831,1384,2.19,5.83
臺北市松山區,區域醫院,1101010021,基督復臨安息日會醫療財團法人臺安醫院,7675,95,264,1.24,4.68
臺北市大安區,醫學中心,1101020018,國泰醫療財團法人國泰綜合醫院,9323,76,279,0.82,3.81
臺北市松山區,區域醫院,0501010019,三軍總醫院松山分院附設民眾診療服務處,5501,38,144,0.69,3.31
臺北市萬華區,地區醫院,0901190010,西園醫療社團法人西園醫院,4330,15,43,0.35,1.34
臺北市北投區,區域醫院,0501160014,三軍總醫院北投分院附設民眾診療服務處,504,,,,
臺北市松山區,地區醫院,1501010010,博仁綜合醫院,682,,,,
臺北市北投區,地區醫院,0701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,627,,,,
臺北市大安區,地區醫院,1101020027,中心診所醫療財團法人中心綜合醫院,551,,,,
臺北市內湖區,地區醫院,1101110026,康寧醫療財團法人康寧醫院,512,,,,
臺北市大安區,地區醫院,0901020013,中山醫療社團法人中山醫院,289,,,,
臺北市大安區,地區醫院,1101020036,宏恩醫療財團法人宏恩綜合醫院,4,,,,
臺北市文山區,地區醫院,1501201020,景美醫院,3,,,,
新北市新莊區,地區醫院,0131060010,衛生福利部樂生療養院,2747,111,175,4.04,10.41
新北市新店區,醫學中心,1131050515,佛教慈濟醫療財團法人台北慈濟醫院,14345,229,1015,1.6,8.67
新北市三峽區,區域醫院,1131090019,行天宮醫療志業醫療財團法人恩主公醫院,11633,266,686,2.29,8.18
新北市中和區,醫學中心,1331040513,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,19448,519,983,2.67,7.72
新北市板橋區,醫學中心,1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,27746,679,1449,2.45,7.67
新北市新莊區,區域醫院,0131060029,衛生福利部臺北醫院,11673,216,429,1.85,5.53
新北市新店區,區域醫院,1231050017,天主教耕莘醫療財團法人耕莘醫院,11733,238,303,2.03,4.61
新北市泰山區,區域醫院,1331160010,輔仁大學學校財團法人輔仁大學附設醫院,14244,131,409,0.92,3.79
新北市土城區,區域醫院,1131130018,新北市立土城醫院（委託長庚醫療財團法人興建經營）,12932,220,244,1.7,3.59
新北市汐止區,區域醫院,1131110516,國泰醫療財團法人汐止國泰綜合醫院,10892,107,261,0.98,3.38
新北市三重區,地區醫院,1531021192,宏仁醫院,1851,7,52,0.38,3.19
新北市永和區,地區醫院,1231030015,天主教耕莘醫療財團法人永和耕莘醫院,8264,79,140,0.96,2.65
新北市新莊區,地區醫院,1531061249,新泰綜合醫院,3118,9,72,0.29,2.6
新北市三重區,區域醫院,0131020016,新北市立聯合醫院,13729,75,215,0.55,2.11
新北市金山區,地區醫院,0431270012,國立臺灣大學醫學院附設醫院金山分院,2167,16,22,0.74,1.75
新北市八里區,區域醫院,0131230012,衛生福利部八里療養院,99,,,,
新北市樹林區,地區醫院,1531071030,仁愛醫院,3032,,,,
新北市瑞芳區,地區醫院,1531120038,瑞芳礦工醫院,984,,,,
新北市中和區,地區醫院,1531041390,怡和醫院,123,,,,
新北市土城區,地區醫院,1531131157,恩樺醫院,102,,,,
新北市新莊區,地區醫院,0931060016,新仁醫療社團法人新仁醫院,11,,,,
新北市新店區,地區醫院,1531051172,新北仁康醫院,1,,,,
新竹市北區,醫學中心,0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,11020,336,685,3.05,9.26
雲林縣斗六市,區域醫院,0439010518,國立臺灣大學醫學院附設醫院雲林分院,13396,448,716,3.34,8.69
宜蘭縣羅東鎮,區域醫院,1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,7157,158,385,2.21,7.59
新竹縣竹北市,區域醫院,0433050018,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,9284,227,361,2.45,6.33
